Date,WaterLevel,Flow,Rainfall
2023-10-02,10.55,1850.0,4.0
2023-10-03,10.553,1852.2,6.1
2023-10-04,10.555,1852.8,8.1
2023-10-05,10.555,1850.5,9.7
2023-10-06,10.553,1845.0,11.0
2023-10-09,10.539,1829.0,11.8
2023-10-10,10.531,1819.1,12.1
2023-10-11,10.521,1809.3,12.0
2023-10-12,10.51,1801.1,11.4
2023-10-13,10.499,1795.8,10.6
2023-10-16,10.479,1786.1,9.5
2023-10-17,10.469,1786.8,8.5
2023-10-18,10.461,1789.1,7.5
2023-10-19,10.456,1791.2,6.6
2023-10-20,10.454,1791.6,6.0
2023-10-23,10.446,1781.5,5.6
2023-10-24,10.448,1775.8,5.5
2023-10-25,10.451,1767.3,5.5
2023-10-26,10.453,1757.4,5.6
2023-10-27,10.455,1747.6,5.7
2023-10-30,10.447,1732.0,5.6
2023-10-31,10.444,1726.9,5.4
2023-11-01,10.439,1725.0,4.9
2023-11-02,10.432,1725.8,4.0
2023-11-03,10.422,1728.1,2.9
2023-11-06,10.403,1722.5,1.5
2023-11-07,10.392,1722.8,0.0
2023-11-08,10.381,1720.1,0.0
2023-11-09,10.372,1714.2,0.0
2023-11-10,10.365,1705.7,0.0
2023-11-13,10.352,1688.0,0.0
2023-11-14,10.35,1678.3,0.0
2023-11-15,10.351,1670.5,0.0
2023-11-16,10.353,1665.5,0.0
2023-11-17,10.357,1663.9,0.0
2023-11-20,10.352,1657.2,0.0
2023-11-21,10.354,1659.5,0.0
2023-11-22,10.354,1661.5,2.0
2023-11-23,10.352,1661.6,4.0
2023-11-24,10.347,1658.8,5.9
2023-11-27,10.332,1645.0,7.4
2023-11-28,10.322,1636.3,8.6
2023-11-29,10.311,1626.3,9.4
2023-11-30,10.3,1616.7,9.8
2023-12-01,10.289,1609.0,9.8
2023-12-04,10.28,1615.8,9.5
2023-12-05,10.276,1620.8,9.0
2023-12-06,10.274,1628.3,8.5
2023-12-07,10.275,1637.0,7.9
2023-12-08,10.278,1645.4,7.5
2023-12-11,10.281,1656.9,7.3
2023-12-12,10.287,1660.3,7.3
2023-12-13,10.293,1660.4,7.4
2023-12-14,10.298,1658.0,7.8
2023-12-15,10.301,1654.4,8.2
2023-12-18,10.299,1656.4,8.5
2023-12-19,10.296,1655.3,8.7
2023-12-20,10.292,1657.2,8.7
2023-12-21,10.285,1662.3,8.3
2023-12-22,10.277,1669.9,7.6
2023-12-25,10.265,1683.9,6.4
2023-12-26,10.257,1692.1,5.0
2023-12-27,10.251,1698.3,3.2
2023-12-28,10.247,1701.5,1.3
2023-12-29,10.245,1701.5,0.0
2024-01-01,10.244,1704.1,0.0
