Date,WaterLevel,Flow,Rainfall
2023-10-02,31.949,436.3,3.6
2023-10-03,32.05,557.2,4.6
2023-10-04,32.117,639.4,3.8
2023-10-05,31.969,466.1,6.9
2023-10-06,32.04,513.9,13.0
2023-10-09,32.011,514.6,30.1
2023-10-10,31.978,482.7,1.5
2023-10-11,32.165,602.5,11.6
2023-10-12,32.135,621.6,2.3
2023-10-13,32.143,674.8,15.5
2023-10-16,32.138,603.0,9.3
2023-10-17,32.231,679.1,4.1
2023-10-18,32.207,634.2,7.1
2023-10-19,32.221,686.2,15.7
2023-10-20,32.194,617.5,3.1
2023-10-23,32.231,651.7,16.0
2023-10-24,32.34,810.7,7.3
2023-10-25,32.257,678.1,20.7
2023-10-26,32.261,741.6,13.2
2023-10-27,32.228,728.5,7.8
2023-10-30,32.175,647.7,5.0
2023-10-31,32.186,665.8,13.6
2023-11-01,32.227,740.4,15.0
2023-11-02,32.211,662.8,1.2
2023-11-03,32.245,678.3,13.1
2023-11-06,32.27,675.5,3.7
2023-11-07,32.274,720.8,6.6
2023-11-08,32.255,748.7,0.0
2023-11-09,32.261,737.6,27.0
2023-11-10,32.239,663.1,4.9
2023-11-13,32.174,613.8,8.4
2023-11-14,32.299,723.7,17.7
2023-11-15,32.292,742.4,6.8
2023-11-16,32.234,681.4,3.0
2023-11-17,32.322,764.4,2.8
2023-11-20,32.332,774.6,15.1
2023-11-21,32.356,775.6,3.2
2023-11-22,32.409,825.8,2.0
2023-11-23,32.344,781.7,15.9
2023-11-24,32.462,866.7,1.4
2023-11-27,32.349,794.1,11.6
2023-11-28,32.478,938.6,2.9
2023-11-29,32.445,873.7,0.0
2023-11-30,32.488,892.2,17.1
2023-12-01,32.601,930.4,22.3
2023-12-04,32.557,957.3,13.5
2023-12-05,32.473,820.3,4.5
2023-12-06,32.472,835.2,0.7
2023-12-07,32.6,1005.5,2.4
2023-12-08,32.59,993.4,4.4
2023-12-11,32.685,1043.7,14.6
2023-12-12,32.714,1019.8,45.4
2023-12-13,32.614,980.0,3.4
2023-12-14,32.63,983.6,3.0
2023-12-15,32.765,1130.9,2.6
2023-12-18,32.796,1204.9,9.5
2023-12-19,32.802,1148.1,4.2
2023-12-20,32.858,1163.2,2.2
2023-12-21,32.878,1167.6,3.2
2023-12-22,32.848,1176.3,14.4
2023-12-25,32.943,1249.0,2.9
2023-12-26,32.911,1194.1,7.5
2023-12-27,32.903,1225.9,0.7
2023-12-28,32.997,1263.0,1.3
2023-12-29,32.973,1311.9,1.6
2024-01-01,32.02,548.1,0.0
2024-01-02,31.951,493.0,0.0
2024-01-03,31.967,459.5,2.8
2024-01-04,31.95,475.5,0.0
2024-01-05,31.956,460.6,0.0
2024-01-08,32.01,496.2,0.9
2024-01-09,31.961,458.5,2.2
2024-01-10,32.018,475.3,0.0
2024-01-11,32.017,470.3,1.5
2024-01-12,32.101,604.8,1.0
2024-01-15,31.93,438.6,0.7
2024-01-16,32.044,542.0,3.6
2024-01-17,31.996,526.5,0.0
2024-01-18,31.999,447.4,1.0
2024-01-19,31.928,418.5,1.0
2024-01-22,31.977,486.9,2.3
2024-01-23,32.037,541.5,2.7
2024-01-24,31.996,485.4,1.0
2024-01-25,32.004,534.1,4.5
2024-01-26,31.985,494.7,2.7
2024-01-29,32.058,509.8,0.6
2024-01-30,31.999,471.2,0.0
2024-01-31,31.89,436.1,3.6
2024-02-01,31.965,486.2,3.0
2024-02-02,31.902,364.3,2.0
2024-02-05,31.837,410.4,0.0
2024-02-06,31.973,496.7,2.2
2024-02-07,32.067,593.6,1.0
2024-02-08,32.002,490.4,0.0
2024-02-09,31.941,444.2,2.0
2024-02-12,31.953,428.6,0.0
2024-02-13,32.057,621.3,6.0
2024-02-14,32.008,501.0,1.9
2024-02-15,32.002,549.5,1.1
2024-02-16,31.997,478.4,0.8
2024-02-19,32.002,506.5,0.7
2024-02-20,32.04,482.1,3.2
2024-02-21,32.028,510.6,2.4
2024-02-22,32.011,538.1,0.8
2024-02-23,31.948,420.7,2.3
2024-02-26,32.026,552.6,0.0
2024-02-27,31.966,482.7,1.1
2024-02-28,32.055,512.4,1.0
2024-02-29,31.936,434.1,1.5
2024-03-01,31.993,480.7,0.7
2024-03-04,32.0,498.2,0.0
2024-03-05,31.934,430.9,0.0
2024-03-06,32.086,544.1,0.0
2024-03-07,32.073,549.3,1.8
2024-03-08,31.977,450.6,0.0
2024-03-11,32.039,492.2,0.0
2024-03-12,32.019,513.7,2.1
2024-03-13,31.869,421.9,3.5
2024-03-14,32.013,464.1,2.7
2024-03-15,31.997,497.7,0.0
2024-03-18,32.004,483.8,0.0
2024-03-19,31.946,427.6,1.6
2024-03-20,31.987,514.8,2.4
2024-03-21,31.991,477.3,0.0
2024-03-22,32.059,592.5,2.3
2024-03-25,32.017,490.0,6.6
2024-03-26,32.0,511.4,1.1
2024-03-27,32.076,554.3,1.4
2024-03-28,31.972,455.2,2.2
2024-03-29,31.981,502.1,1.9
2024-04-01,34.049,2134.5,7.7
2024-04-02,34.264,2329.0,2.2
2024-04-03,34.259,2306.0,2.3
2024-04-04,34.233,2253.7,1.5
2024-04-05,34.28,2320.8,2.7
2024-04-08,34.317,2355.3,0.0
2024-04-09,34.342,2402.7,8.5
2024-04-10,34.333,2339.1,3.5
2024-04-11,34.353,2380.8,2.1
2024-04-12,34.358,2334.9,6.8
2024-04-15,34.486,2508.3,3.4
2024-04-16,34.444,2422.7,0.9
2024-04-17,34.434,2392.7,5.6
2024-04-18,34.406,2422.9,20.8
2024-04-19,34.406,2458.2,1.2
2024-04-22,34.502,2455.7,13.8
2024-04-23,34.507,2472.7,4.9
2024-04-24,34.502,2479.4,3.8
2024-04-25,34.532,2492.0,6.3
2024-04-26,34.517,2524.7,17.9
2024-04-29,34.57,2531.7,12.2
2024-04-30,34.629,2581.7,2.6
2024-05-01,34.571,2574.3,26.0
2024-05-02,34.602,2558.6,15.3
2024-05-03,34.613,2603.1,0.0
2024-05-06,35.422,3208.5,63.5
2024-05-07,35.323,3121.7,83.0
2024-05-08,35.393,3159.6,62.4
2024-05-09,35.439,3307.0,54.4
2024-05-10,35.533,3316.6,55.3
