Date,WaterLevel,Flow,Rainfall
2023-10-02,6.35,3400.0,4.0
2023-10-03,6.355,3400.2,6.1
2023-10-04,6.359,3398.8,8.1
2023-10-05,6.361,3394.5,9.7
2023-10-06,6.361,3387.0,11.0
2023-10-09,6.353,3365.0,11.8
2023-10-10,6.347,3353.1,12.1
2023-10-11,6.339,3341.3,12.0
2023-10-12,6.33,3331.1,11.4
2023-10-13,6.321,3323.8,10.6
2023-10-16,6.307,3308.1,9.5
2023-10-17,6.299,3306.8,8.5
2023-10-18,6.293,3307.1,7.5
2023-10-19,6.29,3307.2,6.6
2023-10-20,6.29,3305.6,6.0
2023-10-23,6.288,3289.5,5.6
2023-10-24,6.292,3281.8,5.5
2023-10-25,6.297,3271.3,5.5
2023-10-26,6.301,3259.4,5.6
2023-10-27,6.305,3247.6,5.7
2023-10-30,6.303,3226.0,5.6
2023-10-31,6.302,3218.9,5.4
2023-11-01,6.299,3215.0,4.9
2023-11-02,6.292,3213.8,4.0
2023-11-03,6.284,3214.1,2.9
2023-11-06,6.267,3202.5,1.5
2023-11-07,6.256,3200.8,0.0
2023-11-08,6.246,3196.1,0.0
2023-11-09,6.237,3188.2,0.0
2023-11-10,6.231,3177.7,0.0
2023-11-13,6.22,3154.0,0.0
2023-11-14,6.219,3142.3,0.0
2023-11-15,6.22,3132.5,0.0
2023-11-16,6.223,3125.5,0.0
2023-11-17,6.227,3121.9,0.0
2023-11-20,6.224,3109.2,0.0
2023-11-21,6.227,3109.5,0.0
2023-11-22,6.228,3109.5,2.0
2023-11-23,6.227,3107.6,4.0
2023-11-24,6.222,3102.8,5.9
2023-11-27,6.209,3083.0,7.4
2023-11-28,6.2,3072.3,8.6
2023-11-29,6.19,3060.3,9.4
2023-11-30,6.179,3048.7,9.8
2023-12-01,6.169,3039.0,9.8
2023-12-04,6.16,3050.2,9.5
2023-12-05,6.156,3056.6,9.0
2023-12-06,6.154,3065.5,8.5
2023-12-07,6.155,3075.8,7.9
2023-12-08,6.158,3085.6,7.5
2023-12-11,6.161,3101.4,7.3
2023-12-12,6.167,3106.2,7.3
2023-12-13,6.173,3107.8,7.4
2023-12-14,6.178,3106.9,7.8
2023-12-15,6.181,3104.7,8.2
2023-12-18,6.179,3111.1,8.5
2023-12-19,6.176,3111.4,8.7
2023-12-20,6.172,3114.8,8.7
2023-12-21,6.165,3121.3,8.3
2023-12-22,6.157,3130.4,7.6
